stanice;lokalita;datum;srazky;snih;prumerna_teplota;maximalni_teplota;minimalni_teplota
GME00132274;PIDING;08.06.2015;5.6;;;24.4;15.2
GME00132274;PIDING;09.06.2015;0.1;;;16.2;13.7
GME00132274;PIDING;10.06.2015;0.1;;;18.4;13.1
GME00132274;PIDING;11.06.2015;1.2;;;24.0;13.3
GME00132274;PIDING;12.06.2015;0.0;;;30.5;10.6
GME00132274;PIDING;13.06.2015;0.4;;;28.7;13.4
GME00132274;PIDING;14.06.2015;0.0;;;27.9;14.0
GME00132274;PIDING;15.06.2015;15.7;;;20.4;14.2
GME00132274;PIDING;16.06.2015;1.4;;;16.1;10.9
GME00132274;PIDING;17.06.2015;0.0;;;19.2;10.2
GME00132274;PIDING;18.06.2015;8.6;;;19.2;8.8
GME00132274;PIDING;19.06.2015;7.8;;;18.7;10.4
GME00132274;PIDING;20.06.2015;26.9;;;14.5;8.5
GME00132274;PIDING;21.06.2015;2.1;;;16.2;8.5
GME00132274;PIDING;22.06.2015;19.2;;;23.4;11.3
GME00132274;PIDING;23.06.2015;4.8;;;17.3;10.0
GME00132274;PIDING;24.06.2015;0.2;;;18.7;6.3
GME00132274;PIDING;25.06.2015;0.0;;;22.7;5.0
GME00132274;PIDING;26.06.2015;0.0;;;23.8;7.3
GME00132274;PIDING;27.06.2015;4.2;;;21.9;13.3
GME00132274;PIDING;28.06.2015;0.0;;;22.5;11.2
GME00132274;PIDING;29.06.2015;0.0;;;25.8;11.6
GME00132274;PIDING;30.06.2015;0.0;;;28.1;10.5
GME00132274;PIDING;01.07.2015;0.0;;;29.6;11.5
GME00132274;PIDING;02.07.2015;0.0;;;30.4;12.8
GME00132274;PIDING;03.07.2015;0.0;;;31.6;12.7
GME00132274;PIDING;04.07.2015;0.0;;;33.2;16.0
GME00132274;PIDING;05.07.2015;0.7;;;34.6;14.8
GME00132274;PIDING;06.07.2015;1.1;;;30.3;17.6
GME00132274;PIDING;07.07.2015;2.4;;;35.7;16.9
GME00132274;PIDING;08.07.2015;9.8;;;24.1;13.9
GME00132274;PIDING;09.07.2015;0.0;;;21.8;12.5
GME00132274;PIDING;10.07.2015;0.0;;;23.7;8.3
GME00132274;PIDING;11.07.2015;5.7;;;30.1;8.4
GME00132274;PIDING;12.07.2015;0.2;;;28.6;13.2
GME00132274;PIDING;13.07.2015;3.1;;;21.3;15.7
GME00132274;PIDING;14.07.2015;0.0;;;26.4;15.1
GME00132274;PIDING;15.07.2015;0.0;;;27.7;14.2
GME00132274;PIDING;16.07.2015;0.0;;;30.8;12.8
GME00132274;PIDING;17.07.2015;1.4;;;34.0;15.7
GME00132274;PIDING;18.07.2015;2.0;;;32.6;14.9
GME00132274;PIDING;19.07.2015;10.1;;;31.9;14.9
GME00132274;PIDING;20.07.2015;0.0;;;28.7;16.9
GME00132274;PIDING;21.07.2015;0.0;;;32.6;15.8
GME00132274;PIDING;22.07.2015;2.9;;;34.5;15.4
GME00132274;PIDING;23.07.2015;0.0;;;27.4;16.0
GME00132274;PIDING;24.07.2015;0.3;;;28.3;16.8
GME00132274;PIDING;25.07.2015;4.7;;;26.5;15.3
GME00132274;PIDING;26.07.2015;8.4;;;23.1;11.3
GME00132274;PIDING;27.07.2015;2.4;;;24.4;13.1
GME00132274;PIDING;28.07.2015;5.1;;;22.3;13.8
GME00132274;PIDING;29.07.2015;6.4;;;22.2;11.9
GME00132274;PIDING;30.07.2015;0.0;;;19.8;10.0
GME00132274;PIDING;31.07.2015;0.0;;;24.1;7.9
GME00132274;PIDING;01.08.2015;15.9;;;25.1;8.9
GME00132274;PIDING;02.08.2015;10.3;;;21.4;11.4
GME00132274;PIDING;03.08.2015;0.0;;;27.3;9.6
GME00132274;PIDING;04.08.2015;2.0;;;31.6;11.3
GME00132274;PIDING;05.08.2015;0.0;;;29.4;14.7
GME00132274;PIDING;06.08.2015;0.0;;;32.4;15.2
GME00132274;PIDING;07.08.2015;0.0;;;34.3;14.0
GME00132274;PIDING;08.08.2015;0.3;;;34.5;16.4
GME00132274;PIDING;09.08.2015;0.0;;;32.9;16.0
GME00132274;PIDING;10.08.2015;0.0;;;31.5;14.4
GME00132274;PIDING;11.08.2015;0.0;;;30.5;13.3
GME00132274;PIDING;12.08.2015;0.0;;;32.5;12.6
GME00132274;PIDING;13.08.2015;0.0;;;34.5;14.4
GME00132274;PIDING;14.08.2015;3.8;;;32.4;14.7
GME00132274;PIDING;15.08.2015;4.5;;;26.2;17.0
GME00132274;PIDING;16.08.2015;7.4;;;19.1;15.8
GME00132274;PIDING;17.08.2015;5.9;;;17.6;13.6
GME00132274;PIDING;18.08.2015;0.8;;;23.0;9.3
GME00132274;PIDING;19.08.2015;6.0;;;18.7;14.0
GME00132274;PIDING;20.08.2015;2.2;;;17.6;13.4
GME00132274;PIDING;21.08.2015;0.0;;;21.5;10.2
GME00132274;PIDING;22.08.2015;0.0;;;24.0;7.5
GME00132274;PIDING;23.08.2015;0.0;;;27.1;6.9
GME00132274;PIDING;24.08.2015;1.7;;;30.5;13.0
GME00132274;PIDING;25.08.2015;0.0;;;19.0;7.2
GME00132274;PIDING;26.08.2015;0.0;;;26.0;5.3
GME00132274;PIDING;27.08.2015;0.0;;;30.9;8.8
GME00132274;PIDING;28.08.2015;0.0;;;30.9;11.0
GME00132274;PIDING;29.08.2015;0.0;;;32.1;12.4
GME00132274;PIDING;30.08.2015;0.0;;;34.0;12.8
GME00132274;PIDING;31.08.2015;0.0;;;32.8;14.5
GME00132274;PIDING;01.09.2015;15.9;;;32.8;14.3
GME00132274;PIDING;02.09.2015;8.6;;;17.6;13.8
GME00132274;PIDING;03.09.2015;32.2;;;17.8;12.1
GME00132274;PIDING;04.09.2015;3.0;;;19.3;11.2
GME00132274;PIDING;05.09.2015;6.9;;;13.6;10.3
GME00132274;PIDING;06.09.2015;2.1;;;14.1;6.7
GME00132274;PIDING;07.09.2015;1.8;;;14.7;5.2
GME00132274;PIDING;08.09.2015;0.0;;;18.4;7.7
GME00132274;PIDING;09.09.2015;0.0;;;18.2;4.4
GME00132274;PIDING;10.09.2015;0.0;;;16.9;3.3
GME00132274;PIDING;11.09.2015;0.8;;;21.6;3.6
GME00132274;PIDING;12.09.2015;0.0;;;25.9;5.5
GME00132274;PIDING;13.09.2015;0.6;;;24.6;6.1
GME00132274;PIDING;14.09.2015;6.2;;;18.8;9.3
GME00132274;PIDING;15.09.2015;0.0;;;19.9;8.4
GME00132274;PIDING;16.09.2015;0.0;;;29.0;7.7
GME00132274;PIDING;17.09.2015;0.0;;;31.0;13.0
GME00132274;PIDING;18.09.2015;0.1;;;19.4;10.0
GME00132274;PIDING;19.09.2015;3.6;;;17.6;6.3
GME00132274;PIDING;20.09.2015;0.0;;;15.6;10.9
GME00132274;PIDING;21.09.2015;0.0;;;18.9;4.8
GME00132274;PIDING;22.09.2015;3.5;;;20.5;3.3
